feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
NUP214 (8021)_damaging,0,0.00098156974062238,203.4,68.25540271656156,0.0,damaging,NUP214
ELP1 (8518)_damaging,0,0.000954351715377775,204.25,45.72654225574755,0.0,damaging,ELP1
MED12 (9968)_damaging,0,0.00113241054084274,204.8,150.8499254225868,0.0,damaging,MED12
UNC79 (57578)_damaging,0,0.0010439667765675402,205.0,91.99184746487049,0.0,damaging,UNC79
DNAH5 (1767)_damaging,0,0.00128518416861344,205.2,167.66096743130166,0.0,damaging,DNAH5
SDHA (6389)_damaging,0,0.00138072106227786,205.8,188.1241611276978,0.0,damaging,SDHA
SLK (9748)_damaging,0,0.00134572312424268,205.8,201.6412656179285,0.0,damaging,SLK
MUC17 (140453)_damaging,0,0.00107781796440396,208.6,92.06410809865048,0.0,damaging,MUC17
FLG (2312)_damaging,0,0.0012561506231136,209.4,172.17229742324983,0.0,damaging,FLG
LMTK3 (114783)_damaging,0,0.00097958296895648,209.6,74.47348521453793,0.0,damaging,LMTK3
SPATA22 (84690)_damaging,0,0.00145354758543972,211.4,210.9296091116655,0.0,damaging,SPATA22
UNC80 (285175)_damaging,0,0.0015538921978949598,212.0,214.06657842830114,0.0,damaging,UNC80
DNAH11 (8701)_damaging,0,0.00094815638893508,212.2,69.81547106480053,0.0,damaging,DNAH11
ESRP1 (54845)_damaging,0,0.00107891712118734,212.8,118.24635300930004,0.0,damaging,ESRP1
PTPRB (5787)_damaging,0,0.00104546767014258,215.0,99.32522338258293,0.0,damaging,PTPRB
HLA-A (3105)_damaging,0,0.00100652403326932,215.2,91.9603175288124,0.0,damaging,HLA-A
PDZD2 (23037)_damaging,0,0.0008999144602705601,218.6,60.251970922120044,0.0,damaging,PDZD2
DNAH9 (1770)_damaging,0,0.00109123465304564,220.2,133.35179038918076,0.0,damaging,DNAH9
CDH22 (64405)_damaging,0,0.0009201707938068,221.0,,0.0,damaging,CDH22
BLTP1 (84162)_damaging,0,0.00122683520825916,221.6,198.01843348537025,0.0,damaging,BLTP1
CCDC168 (643677)_damaging,0,0.0010156465335849998,222.2,92.12057316365329,0.0,damaging,CCDC168
EP400 (57634)_damaging,0,0.00105637101860008,223.6,152.22614755685044,0.0,damaging,EP400
SMC3 (9126)_damaging,0,0.0016385081135047743,225.6,290.1289368539443,0.0,damaging,SMC3
TNRC18 (84629)_damaging,0,0.00099481620647312,226.4,148.26429104811447,0.0,damaging,TNRC18
FCGBP (8857)_damaging,0,0.0009309332886546,229.8,79.96999437288964,0.0,damaging,FCGBP
RP1 (6101)_damaging,0,0.00104270011799086,234.0,131.5446692192428,0.0,damaging,RP1
SETBP1 (26040)_damaging,0,0.0011487396812369,235.4,191.61367383357586,0.0,damaging,SETBP1
FLT4 (2324)_damaging,0,0.00104155063468272,235.6,170.21985783098282,0.0,damaging,FLT4
ZFHX3 (463)_damaging,0,0.0009758052668921199,238.2,93.4034260613603,0.0,damaging,ZFHX3
EFCAB7 (84455)_damaging,0,0.000878320563137,239.0,,0.0,damaging,EFCAB7
ARID2 (196528)_damaging,0,0.0008874960140475199,239.6,86.67929395190065,0.0,damaging,ARID2
BRD3 (8019)_damaging,0,0.00087989630123216,239.8,118.06650668161568,0.0,damaging,BRD3
DNAH8 (1769)_damaging,0,0.00090588521160036,240.4,116.33915935745796,0.0,damaging,DNAH8
JARID2 (3720)_damaging,0,0.0010573000539340599,241.0,151.8337907054948,0.0,damaging,JARID2
PCLO (27445)_damaging,0,0.00087900756357122,241.0,89.9277487764483,0.0,damaging,PCLO
FAT2 (2196)_damaging,0,0.0009381646396504999,241.8,125.01879858645259,0.0,damaging,FAT2
PLXNA1 (5361)_damaging,0,0.0007694906894653,246.0,,0.0,damaging,PLXNA1
ABCA12 (26154)_damaging,0,0.0013118184148948,247.2,219.76282670187877,0.0,damaging,ABCA12
CSF2RB (1439)_damaging,0,0.00078401356425426,247.6,50.84584545466817,0.0,damaging,CSF2RB
LOXHD1 (125336)_damaging,0,0.0009398740688500501,248.25,121.32978474664276,0.0,damaging,LOXHD1
RANBP2 (5903)_damaging,0,0.0008380085645175,250.0,,0.0,damaging,RANBP2
TENM4 (26011)_damaging,0,0.00082208380555038,250.6,89.70674445101662,0.0,damaging,TENM4
LZTR1 (8216)_damaging,0,0.00089651608037912,253.0,120.04374202764592,0.0,damaging,LZTR1
TNR (7143)_damaging,0,0.00084811903318516,254.8,103.17557850576851,0.0,damaging,TNR
CTNNA1 (1495)_damaging,0,0.00100328006698108,255.0,144.74632983257297,0.0,damaging,CTNNA1
CACNA1C (775)_damaging,0,0.00091292031808618,256.4,150.16923786182042,0.0,damaging,CACNA1C
MSH6 (2956)_damaging,0,0.00078206664185346,256.8,56.03302597575826,0.0,damaging,MSH6
IRF8 (3394)_damaging,0,0.0008072038320207667,257.6666666666667,64.69415223444337,0.0,damaging,IRF8
SPEN (23013)_damaging,0,0.00076142720845794,258.8,39.93369504566289,0.0,damaging,SPEN
SETD2 (29072)_damaging,0,0.0007758346860167,259.4,60.002499947918835,0.0,damaging,SETD2
GPR155 (151556)_damaging,0,0.0011544781776838499,260.75,269.1435490588619,0.0,damaging,GPR155
ZBTB21 (49854)_damaging,0,0.0007513298125073001,264.0,116.41305768684198,0.0,damaging,ZBTB21
STAB2 (55576)_damaging,0,0.0008973900690660401,264.8,127.65852889642744,0.0,damaging,STAB2
IQUB (154865)_damaging,0,0.0009044157407847334,265.0,176.26400653565094,0.0,damaging,IQUB
HLA-B (3106)_damaging,0,0.00109844023510694,266.2,225.98163642207743,0.0,damaging,HLA-B
NCKAP5L (57701)_damaging,0,0.00112680763676324,267.8,199.64393304080141,0.0,damaging,NCKAP5L
BRCA2 (675)_damaging,0,0.0009476222108447,269.2,190.54841904355962,0.0,damaging,BRCA2
USP13 (8975)_damaging,0,0.00087066950282724,269.4,126.65030596094113,0.0,damaging,USP13
CFAP47 (286464)_damaging,0,0.0008148796332354,271.8,114.375259562547,0.0,damaging,CFAP47
ANKRD30A (91074)_damaging,0,0.0010885718324644999,272.6,229.1992582885032,0.0,damaging,ANKRD30A
CPAMD8 (27151)_damaging,0,0.00099304741034812,273.4,155.71705108946804,0.0,damaging,CPAMD8
EYS (346007)_damaging,0,0.00101006054440548,275.6,215.72273871801275,0.0,damaging,EYS
NALCN (259232)_damaging,0,0.0007743522873340599,276.2,107.49279045591848,0.0,damaging,NALCN
LRP2 (4036)_damaging,0,0.00091129523765452,279.0,184.1806178727827,0.0,damaging,LRP2
SNHG14 (104472715)_damaging,0,0.0007092299100571,280.0,36.76955262170047,0.0,damaging,SNHG14
PTPRC (5788)_damaging,0,0.0008244621508248799,284.0,144.54757002454244,0.0,damaging,PTPRC
RIMBP2 (23504)_damaging,0,0.00074211610209085,284.25,94.33406949064938,0.0,damaging,RIMBP2
CSMD2 (114784)_damaging,0,0.00113339320664858,285.0,276.788728094191,0.0,damaging,CSMD2
MUC4 (4585)_damaging,0,0.0009845663158498399,287.2,234.50095948631,0.0,damaging,MUC4
NBAS (51594)_damaging,0,0.00103148859210854,287.2,209.70264662135287,0.0,damaging,NBAS
LOXL2 (4017)_damaging,0,0.0006218125865769,288.0,,0.0,damaging,LOXL2
SPEG (10290)_damaging,0,0.00073902248919234,288.4,145.12339577063375,0.0,damaging,SPEG
TRMT9B (57604)_damaging,0,0.0008588937400124799,290.6,197.68864408458066,0.0,damaging,TRMT9B
