gene,sd,has_self_expr,r_mean,r_lineage,r_self,r_ridge,gain_over_lineage,gain_over_self
DNAJC11 (55735),0.4148643910884857,True,-0.04385791039697795,0.12766565160046117,0.10957641512279502,0.47040098584396345,0.3427353342435023,0.3608245707211684
TAFAZZIN (6901),0.3925460875034332,True,-0.03861402201047996,0.38909927863458127,0.01039310862921617,0.4698991152911554,0.08079983665657414,0.45950600666193925
C19orf25 (148223),0.2802000641822815,True,-0.04469467873600087,0.24251440614220612,0.0380030995683541,0.46897254265642135,0.22645813651421523,0.4309694430880673
BRD2 (6046),0.37176716327667236,True,-0.03137907395233149,0.27556993258766976,0.019191832761145066,0.46716396413566774,0.19159403154799798,0.4479721313745227
DHX29 (54505),0.35594138503074646,True,-0.05182176323959051,0.35368081393879813,0.11162284699975678,0.4665152359664796,0.11283442202768146,0.3548923889667228
TADA1 (117143),0.4483197331428528,True,-0.06171687023735734,0.35004951885704594,0.14631579161579145,0.46638445840976794,0.116334939552722,0.3200686667939765
CMIP (80790),0.36867183446884155,True,-0.029599361663061916,0.30861951452417513,0.24922137081798476,0.4661156151532646,0.15749610062908947,0.21689424433527985
ACLY (47),0.3625854551792145,True,-0.07499025776596296,0.342478092487165,-0.03423386948233073,0.46572788910739465,0.12324979662022967,0.49996175858972536
SUPT7L (9913),0.2911778688430786,True,-0.041562418438718184,0.36844101880571767,0.052441543170122465,0.46543757566127336,0.0969965568555557,0.4129960324911509
UFL1 (23376),0.2882572412490845,True,-0.05785365761783767,0.15343409064426633,-0.023138366240590798,0.4639647806892554,0.31053069004498907,0.4871031469298462
SOX2 (6657),0.27922841906547546,True,-0.07699645705997582,0.17639202779851182,0.48131082780443074,0.46209308051957193,0.2857010527210601,-0.01921774728485881
RIC1 (57589),0.5291879177093506,True,-0.05185269723826044,0.23823820036678225,-0.09399043529390236,0.46117199472008785,0.2229337943533056,0.5551624300139902
STRIP1 (85369),0.26794788241386414,True,-0.03976050970720424,0.25351504942890135,0.011319996643134473,0.4606395938404646,0.20712454441156325,0.4493195971973301
TWNK (56652),0.3830021619796753,True,-0.04269885129279418,0.20186554035365695,0.23302651171429617,0.46057246199017843,0.2587069216365215,0.22754595027588226
