roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model
0.7312771210534191,0.7381957176442151,0.6546274128385455,0.7177914110429447,0.5914634146341463,0.6743515850144092,0.20990585941853993,327,0.4984709480122324,0.466,0,10,loh,random_forest
0.7283779739637887,0.7562856735218642,0.6543655543917403,0.6319018404907976,0.676829268292683,0.64576802507837,0.20969044651864208,327,0.4984709480122324,0.5,0,20,loh,random_forest
0.7485410743677988,0.7730376068897665,0.6878834355828221,0.6257668711656442,0.75,0.6666666666666666,0.20385188573637733,327,0.4984709480122324,0.503,0,30,loh,random_forest
0.7245285859460273,0.7540781212325411,0.6625766871165644,0.6809815950920245,0.6441717791411042,0.6686746987951807,0.21015249573577063,326,0.5,0.479,1,all,loh,random_forest
0.7130678610410628,0.7237902625971387,0.6441717791411044,0.7116564417177914,0.5766871165644172,0.6666666666666666,0.2159812479018275,326,0.5,0.47,1,5,loh,random_forest
0.7101509277729685,0.74263612763134,0.6196319018404908,0.7116564417177914,0.5276073619631901,0.651685393258427,0.21621178570685512,326,0.5,0.456,1,10,loh,random_forest
0.7096992735895216,0.7503808149787654,0.6717791411042945,0.558282208588957,0.7852760736196319,0.629757785467128,0.21395353711203305,326,0.5,0.563,1,20,loh,random_forest
0.7230795287741352,0.7564734558005708,0.6503067484662577,0.6441717791411042,0.656441717791411,0.6481481481481481,0.20963229447852758,326,0.5,0.492,1,30,loh,random_forest
0.7526440588655954,0.7235219505004251,0.6871165644171779,0.7300613496932515,0.6441717791411042,0.7,0.2084800490797546,326,0.5,0.474,2,all,loh,random_forest
0.7074033648236666,0.6922926538932226,0.6533742331288344,0.6748466257668712,0.6319018404907976,0.6606606606606606,0.21659849416482163,326,0.5,0.491,2,5,loh,random_forest
0.7338251345553088,0.7265924208606953,0.6625766871165644,0.6257668711656442,0.6993865030674846,0.6496815286624203,0.20812971495609567,326,0.5,0.527,2,10,loh,random_forest
