gene,sd,has_self_expr,r_mean,r_lineage,r_self,r_enet,gain_over_lineage
CECR2 (27443),0.31784605979919434,True,-0.24918159510953242,0.0024981190801475843,-0.25166090115157025,-0.15851467328472924,-0.1610127923648768
CENPP (401541),0.288581907749176,True,-0.0540974453964019,0.16813795992576752,-0.012490166616050697,0.30013596607110177,0.13199800614533425
CEP43 (11116),0.4201931953430176,True,-0.061941619155363704,0.2239349293487457,0.08983701179511404,0.368666268024726,0.14473133867598031
CEP55 (55165),0.28531530499458313,True,-0.04529390467069546,0.22445315841435856,0.07150521134439124,0.39104850941048197,0.1665953509961234
CEPT1 (10390),0.2993219494819641,True,-0.0669678059993748,0.19184223051779772,0.0778395343201141,0.4596287648007835,0.2677865342829858
CFLAR (8837),0.642174482345581,True,-0.08520342684789008,0.3838364222280262,0.43500672942939617,0.5734876462391585,0.18965122401113227
CHD8 (57680),0.2791021466255188,True,-0.07838209990616314,0.12984929615266017,0.06131585343411424,0.27828950769995625,0.14844021154729609
CLASP1 (23332),0.2891172766685486,True,-0.19457924113995584,0.01971064061879818,-0.04860120750179591,0.018654066628487308,-0.0010565739903108731
CMIP (80790),0.36867183446884155,True,-0.029599361662887513,0.30861947986015276,0.24921950653189395,0.44490186830032546,0.1362823884401727
CNOT11 (55571),0.2536921501159668,True,-0.07981203128901426,0.21751952108026165,0.008068785518624886,0.26593434794549503,0.04841482686523338
CNOT2 (4848),0.2674664556980133,True,-0.04721139970548121,0.2686893252821743,0.03683173825830167,0.31559401616140775,0.046904690879233435
COA6 (388753),0.33343297243118286,True,-0.08730608312048786,0.21907999116005364,0.03267493316813331,0.3379237010673832,0.11884370990732954
COA7 (65260),0.33847343921661377,True,-0.07132907828972311,0.20757011767334024,0.10580905254149571,0.3418413996428813,0.13427128196954105
COG5 (10466),0.26792603731155396,True,-0.06442335089860415,0.061672389064677036,0.1182870113608244,0.23044557083932826,0.16877318177465123
COG7 (91949),0.26022595167160034,True,-0.014658581048529037,0.13054661661192873,0.04319632520232549,0.26557844939677,0.13503183278484127
COP1 (64326),0.3420577645301819,True,-0.06555547268293216,0.23855068829005185,0.033659143752082,0.32193235449246277,0.08338166620241091
COX10 (1352),0.2874338924884796,True,-0.06201072134172649,0.2943949666422139,0.0074272311359006166,0.379169173938799,0.08477420729658514
COX18 (285521),0.25732213258743286,True,-0.07250972763799352,0.05048403154592106,-0.08378113742371872,0.1775785377505337,0.12709450620461266
COX19 (90639),0.25343093276023865,True,-0.08955998607341746,0.10359964102421486,-0.007607509500245683,0.22731443788663286,0.123714796862418
COX4I1 (1327),0.2518457770347595,True,-0.022768045696862842,0.18539826390908967,0.012014720182245845,0.3479933363758336,0.1625950724667439
CREBBP (1387),0.40164944529533386,True,-0.06773997798208432,0.19325769831612002,0.09770384273216035,0.2646106921875626,0.07135299387144259
CRK (1398),0.2666262686252594,True,-0.049932970030748876,0.2748579883181627,0.287992763209347,0.49625536100465506,0.22139737268649234
CSDE1 (7812),0.28262510895729065,True,-0.049441376880324545,0.109349701802205,0.15597318787913522,0.24041412779675916,0.13106442599455415
CSK (1445),0.2647906243801117,True,-0.05375435098681687,0.274782508764217,0.1579332542418201,0.27014205188047874,-0.004640456883738264
CTC1 (80169),0.3092988431453705,True,-0.05709633426923666,0.12619784605256854,-0.05719647362077678,0.22131772757803345,0.09511988152546491
CTDNEP1 (23399),0.266754686832428,True,-0.06369190107913009,0.29981962672538554,0.007854654198323794,0.4340038604979894,0.13418423377260386
CTDSPL2 (51496),0.2544489800930023,True,-0.03679458672314718,0.12932519517953453,0.07641729852336585,0.26249816271159127,0.13317296753205674
CTNNA1 (1495),0.27441680431365967,True,-0.042868210776140094,0.17745190334555852,0.10657084240717787,0.35034480178921135,0.17289289844365283
CTNNB1 (1499),0.40540459752082825,True,-0.033770857861979434,0.5764511401104497,0.19852297989320475,0.6950966904718106,0.11864555036136082
CXXC1 (30827),0.2539103925228119,True,-0.03392625320713521,0.14824240019596846,0.0821470452177193,0.18558824207588737,0.037345841879918906
CYB5B (80777),0.3870662748813629,True,-0.045060614447925446,0.2624569457892948,-0.003639193474341549,0.5018238773074992,0.23936693151820443
DARS2 (55157),0.3060702085494995,True,-0.05672834707900751,0.26512240515243723,0.0075634368384210745,0.41808063319663397,0.15295822804419673
DAXX (1616),0.2783166170120239,True,-0.032894081990174455,0.2071016759710546,0.003341568286862707,0.26609275625774353,0.058991080286688924
DCP1A (55802),0.26977190375328064,True,-0.3315754206767741,0.058302008977302325,-0.3250456170369567,0.10517786295063658,0.046875853973334256
DCPS (28960),0.3290397822856903,True,-0.029678042329571292,0.2896333419732686,0.08529219540335545,0.3752304943100666,0.08559715233679799
DDX19A (55308),0.358278751373291,True,-0.056095860873822095,0.0788726921507443,0.006351647077041309,0.49222372179164525,0.413351029640901
DDX3X (1654),0.5108829140663147,True,-0.07773513946610364,0.3497001891585539,0.08015812376018895,0.7239221394144362,0.3742219502558823
DEFB108B (245911),0.2912096083164215,True,-0.08708192422901727,0.2918643680401411,-0.13045361812891007,0.12395274536983607,-0.16791162267030502
DERL2 (51009),0.3351764976978302,True,-0.04080823913274235,0.14895142492361,0.05976839982832831,0.30729750645281595,0.15834608152920596
DET1 (55070),0.2988942861557007,True,-0.028224935297879578,0.19906093914138334,0.07464902485320489,0.30691590441367494,0.1078549652722916
